timestamp,country_residency,ip_country,important_score
1713731021,,Germany,0
1713731024,,Netherlands,0
1713731157,,Romania,0
1713731163,,Lebanon,0
1713731181,Ghana,Ghana,0
1713731299,,Lithuania,0
1713731350,,South Africa,0
1713731360,,United States of America,0
1713731379,,Armenia,0
1713731393,,Egypt,0
1713731397,,Slovakia,0
1713731413,,Germany,0
1713731415,,Sri Lanka,0
1713731581,,Poland,0
1713731648,,United Kingdom of Great Britain and Northern Ireland,0
1713731676,,France,0
1713731706,,Netherlands,0
1713731773,,Greece,0
1713731856,,Poland,0
1713731907,,United States of America,0
1713731969,,Hungary,0
1713732037,,United States of America,0
1713732179,,Belgium,0
1713732181,Cameroon,Cameroon,0
1713732310,Pakistan,Pakistan,0
1713732312,,United Kingdom of Great Britain and Northern Ireland,0
1713732460,China,Indonesia,0
1713732520,,United States of America,0
1713732523,,United Kingdom of Great Britain and Northern Ireland,0
1713732544,,Denmark,0
1713732610,,Dominican Republic,0
1713732621,,United Kingdom of Great Britain and Northern Ireland,0
1713732636,,United Kingdom of Great Britain and Northern Ireland,0
1713732668,,United States of America,0
1713732723,,India,0
1713732729,United Kingdom,United Kingdom of Great Britain and Northern Ireland,0
1713732842,,United Arab Emirates,0
1713732891,,Germany,0
1713732976,,Honduras,0
1713733082,,Germany,0
1713733105,,Malta,0
1713733183,,Honduras,0
1713733568,,United States of America,0
1713733688,,Portugal,0
1713733711,,Czechia,0
1713733769,,Netherlands,0
1713733875,,United States of America,0
1713733893,,South Africa,0
1713734021,,Canada,0
1713734180,,New Zealand,0
1713734183,,Kenya,0
1713734211,,Pakistan,0
1713734320,,Germany,0
1713734386,,United Kingdom of Great Britain and Northern Ireland,0
1713734424,,United Arab Emirates,0
1713734562,Poland,Poland,31
1713734600,,United States of America,0
1713734703,,Czechia,0
1713734813,,El Salvador,0
1713734831,,Canada,0
1713734847,,France,0
1713734919,,Germany,0
1713734935,,Portugal,0
1713734970,,Turkey,0
1713735029,,Bosnia and Herzegovina,0
1713735050,,Italy,0
1713735076,,Lithuania,0
1713735132,,Germany,0
1713735230,,Denmark,0
1713735263,,France,0
1713735281,,Lithuania,0
1713735288,,Lithuania,0
1713735330,,Lithuania,0
1713735349,,United States of America,0
1713735407,,Germany,0
1713735420,,Portugal,0
1713735545,,Morocco,0
1713735657,,Denmark,0
1713735658,,United Kingdom of Great Britain and Northern Ireland,0
1713735774,,United States of America,0
1713735846,United States,United States of America,0
1713735923,,Germany,0
1713735960,,South Africa,0
1713736073,,Germany,0
1713736082,,Philippines,0
1713736160,,Slovakia,0
1713736170,,Serbia,0
1713736268,,United Kingdom of Great Britain and Northern Ireland,0
1713736268,,Pakistan,0
1713736411,,Belgium,0
1713736482,,Canada,0
1713736584,,Belgium,0
1713736640,,Portugal,0
1713736819,,United States of America,0
1713736826,,United States of America,0
1713736875,,United Kingdom of Great Britain and Northern Ireland,0
